                  1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16
196303        5.000        0.000        0.000       24.800        1.900     -999.000     -999.000        0.040        1.420      -19.930       -1.940      778.000     -999.000     -999.000     -999.000       -0.650
196304        4.000        1.000        0.000       41.700        1.300     -999.000     -999.000        0.620        1.760      -21.520       -1.210      795.000     -999.000     -999.000     -999.000       -0.850
196305        2.000        0.000        0.000       61.100        0.600     -999.000     -999.000       -0.660       -0.210      -24.180       -0.710      878.000     -999.000     -999.000     -999.000       -0.160
196306     -999.000        4.000        0.000       51.200       -0.800     -999.000     -999.000       -0.800       -1.120      -20.080       -0.500      835.000     -999.000     -999.000     -999.000        0.050
196307     -999.000        5.000        4.000       28.700       -0.200     -999.000     -999.000       -0.470       -1.140       -9.270       -0.140      759.000     -999.000     -999.000     -999.000        0.200
196308     -999.000        3.000        1.000       47.500        0.000     -999.000     -999.000        0.200       -2.040       -1.350        0.010      809.000     -999.000     -999.000     -999.000        0.900
196309        2.000        5.000        2.000       55.200       -1.000     -999.000     -999.000        0.590       -3.190        3.520        0.190      851.000     -999.000     -999.000     -999.000        0.880
196310        6.000        4.000        0.000       50.100       -2.000     -999.000     -999.000       -0.360       -2.340        7.540       -0.030      851.000     -999.000     -999.000     -999.000        0.080
196311        3.000        0.000        0.000       33.700       -1.400     -999.000     -999.000       -0.590       -2.210        8.870       -0.030      817.000     -999.000     -999.000     -999.000       -0.370
196312        3.000        3.000        0.000       21.600       -2.000     -999.000     -999.000        0.060       -2.960        5.480        0.280      784.000     -999.000     -999.000     -999.000       -0.370
196401        2.000        0.000        0.000       22.600       -0.600     -999.000     -999.000       -0.820       -1.590        3.940        0.320      754.000     -999.000     -999.000     -999.000       -0.690
196402        2.000        0.000        0.000       25.300        0.100     -999.000     -999.000       -0.030        0.210        5.260        0.100      768.000     -999.000     -999.000     -999.000       -1.180
196403        3.000        0.000        0.000       24.100        1.900     -999.000     -999.000       -1.290        0.740        5.460       -0.800      759.000     -999.000     -999.000     -999.000       -1.170
196404        2.000        0.000        0.000       12.900        1.800     -999.000     -999.000        0.060        0.170        5.940       -1.010      726.000     -999.000     -999.000     -999.000        0.080
196405        1.000        2.000        1.000       14.300        0.400     -999.000     -999.000       -0.530        1.500        6.320       -1.070      695.000     -999.000     -999.000     -999.000       -0.090
196406     -999.000        2.000        0.000       13.500        1.200     -999.000     -999.000        0.160        1.340        2.230       -0.930      690.000     -999.000     -999.000     -999.000       -0.150
