                  1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26
195905       -0.217       -0.309       -0.089       -0.119       -0.313       -0.175        0.637       -0.383       -0.209       -0.591       -0.564        0.143       21.705       26.724       19.071       16.378       -0.265        0.140        0.084        0.565        0.500       -0.273        0.035       -0.253       -0.560       -0.585
195906       -0.467       -0.439       -0.270       -0.230       -0.244       -0.269       -0.354       -0.567       -0.374       -0.496       -0.665        0.326       14.498       13.873       21.086       18.674       -0.348       -0.039       -0.146       -0.410        0.310       -0.331       -0.094       -0.420       -0.605       -0.093
195907       -0.506       -0.743       -0.466       -0.746       -0.207       -0.515       -0.176       -0.691       -0.605       -0.612       -0.677        0.512        9.229        6.065       23.765       21.625       -0.391        0.765        0.250       -0.160        0.147       -0.556       -0.169       -0.544       -0.558       -0.270
195908       -0.973       -0.849       -0.402       -0.746       -0.119       -0.543       -0.331       -0.579       -0.681       -0.616       -0.513       -1.781        6.078        3.639       24.698       21.845       -0.339        0.899        0.349       -0.417        0.391       -0.688       -0.062       -0.510       -0.387       -0.308
195909       -0.596       -0.754       -0.460       -0.806       -0.166       -0.578       -0.077       -0.572       -0.617       -0.548       -0.392       -0.491        7.067        3.983       24.659       24.218       -0.150        0.240        0.496       -0.175        0.244       -0.570       -0.158       -0.469       -0.373       -0.249
195910       -0.326       -0.406       -0.324       -0.435       -0.234       -0.373       -0.330       -0.640       -0.364       -0.520       -0.310       -0.003        7.677        3.174       23.874       21.273       -0.104       -1.349       -1.301       -0.358        0.196       -0.276       -0.161       -0.431       -0.458       -0.222
195911        0.038       -0.454       -0.522       -0.586       -0.326       -0.547       -0.039       -0.494       -0.428       -0.420       -0.472       -0.152        9.814        2.194       23.813       20.100       -0.165       -1.934       -1.567       -0.116       -0.111       -0.245       -0.340       -0.403       -0.209       -0.080
195912       -0.310       -0.448       -0.414       -0.386       -0.335       -0.421        0.218       -0.416       -0.419       -0.532       -0.646       -0.145        9.811        2.316       20.671       18.629       -0.134       -1.014       -1.192        0.147       -0.021       -0.282       -0.235       -0.367       -0.126       -0.070
196001       -0.306       -0.356       -0.616       -0.295       -0.492       -0.354        0.047       -0.389       -0.456       -0.442       -0.704        0.000        7.759        2.955       17.637       14.148       -0.020       -0.575       -0.595        0.037       -0.299       -0.110       -0.474       -0.455       -0.237       -0.268
196002       -0.299       -0.477       -0.647       -0.460       -0.389       -0.481        0.003       -0.437       -0.527       -0.128       -0.814        0.048       14.191        4.465       17.449       12.365        0.050       -0.344       -0.499        0.002       -0.298       -0.218       -0.457       -0.460        0.047       -0.700
196003       -0.173       -0.287       -0.449       -0.256       -0.386       -0.207        0.170       -0.331       -0.341       -0.201       -0.433       -0.048       20.889       13.962       17.782       13.236       -0.085       -0.207       -0.278        0.218       -0.182       -0.108       -0.334       -0.327       -0.142       -0.757
196004       -0.996       -0.344       -0.446       -0.228       -0.467       -0.215       -0.224       -0.420       -0.456       -0.200       -0.482        0.052       22.562       24.358       18.987       14.301       -0.103       -0.000       -0.200       -0.261        0.082       -0.166       -0.308       -0.356       -0.579       -0.646
